ISBN,Book-Title,Book-Author,Mean-Rating,altered_title
665622727,Engineering Mechanics,Nadkarni Manish,3,"engineering,semester 1,mechanical,mechanics"
456363777,Basic Electrical Engineering,JS Katre,3,"engineering,semester 1,electrical"
674383838,Engineering Mathematics - 1,Dr. Vivek Mishra,2,"engineering,semester 1,mathematics,maths"
688874748,Engineering Physics - 1,Dr. I. A. Shaikh,3,"engineering,semester 1,physics"
677767666,Engineering Chemistry - 1,Dr. Jayshree A. Parikh,3,"engineering,semester 1,chemical,chemistry"
473879837,Engineering Graphics,Dr.Jayshree A Parikh,2,"engineering ,semester 1,graphics"
374974388,Engineering Mathematics-2,Dr.Vivek Mishra,3,"engineering,semester 2,mathematics"
727474873,C-Programming,Harish G Narula,4,"engineering,semester 2,cprogramming,c"
789787878,Professional Communication and Ethics,Dr. Arpita palchoudhury,3,"engineering,semester 2,pce"
873979878,Engineering Physics-2,Dr. I .A Shaikh,4,"engineering,physics,semester 2,"
479874888,Engineering Chemistry-2,Dr.Jayshree A Parikh,3,"engineering,chemistry,semester 2"
344344833,Cloud Computing and Services,Pravin Goyal,4,"engineering, semester 8, information technology, cloud computing"
878879788,Blockchain and DLt,Monali Shetty,3,"engineering,blockchain,dlt,semester 8, information technology"
873877878,Internet of Everthing,Pravin Goyal,3,"iot,sensors,engineering,information technology,semester 7"
778987897,Software Testing and Quality Assurance,Sandeep Kamble,3,"SQA,software,sqa,engineering,information technology,semester 7"
489378388,Artificial Intelligence and Data Science-2,Dipali Y koshti,3,"AI,datascience,ai,engineering,information technology,semester 7"
288908989,Image Processing,Dr.Dhananjay K .Theckedath,4,"imageprocessing,engineering,information technology,IT"
334234343,Ethical Hacking and Forensics,Dr.Suvarna Shirke,3,"ethical hacking,hacking,forensics,semester 6,information technology,IT"
987888887,AI and DS-1,Purva Raut,3,"artificial intelligence,data science,semester 6,information technology,IT"
987778788,Data Mining and Business Intelligence,Dr.Aarti Deshpande,3,"data mining,business intelligence,information technology,semester 6"
867676767,Web X.0,Tushar R Agarwal,3,"web x,semester 6,information technology,engineering"
789787878,Wireless Technology,JS Katre,4,"WT,wireless technology,semester 6,information technology,engineering"
987897878,Data Structure and Analysis,Dilip Kumar Sultania,4,"dsa,data structure,analysis,semester 3,information technology"
876767677,Object Oriented Programming with Java,Khusboo Shah,3,"oop,java,semester 3,information technology"
987878788,Computer Network Security,Pravin Goyal,4,"cns,security,semester 5,engineering,information technology"
787798787,Internet Programming,Chandan Kolvankar,3,"IP,semester 5,engineering,programming,information technology"
897878677,Software Engineering,Dr.Ansari .M.A,3,"software,software engineering,semester 5,se,software,information technology"
978978787,Entrepreneurship and E-business,Monali Shetty,4,"eeb,business,semester 5,engineeing,information technology"
987897878,Computer Organization and Architecture,JS Katre,3,"coa,computer architecture,engineering,semester 4"
978787887,Operating System,Dr Rajesh D Kadu,3,"os,engineering,semester 4,operating,information technology"
987878678,Computer Network and Network Design,Monali Shetty,3,"cnnd,computer network,design,engineering,semester 4,information technology"
978767658,Engineering Mathematics-3,Dr Sachin S Wani,3,"mathematics,engineering,semester 3,information technology"
789777987,Automata Theory,Dilip kumar Sultania,4,"AT,automata,semester 4,information technology"
987679797,Principle of Communication,JS Katre,3,"pcom,semester 3,communication,engineering,information technology"
987677976,Big Data Analytics,Mahesh Mali,3,"big data,analytics,engineering,information technology"
987867679,Advance Data Management Technologies,Mahesh Mali,4,"data management,engineering,semester 5,information technology"
976656677,Infrastructure Security,Pravin Goyal,3,"IS,security,engineering,information technology"
987498738,Database Management System,Mahesh Mali,3,"engineering,dbms,sql,semester 3,information technology"
838378383,Engineering Mathematics-4,Dr.Sachin S.Wani,3,"engineering,maths,mathematics,semester 4,information technology"
874987599,Green IT,Saba Anjum Patel,3,"engineering,green,semester 6,IT,information technology"
978977889,Electronic Instruments and Measurement,Dr .Vaibhavi A. Soneta,2,"engineering,electronics,semester 3,measurement,instrument"
908979778,Electronic Devices,JS Katre,3,"engineering,elecronics ,semester 3,devices"
798778979,Digital Logic Circuits,Vaishali S. Joshi,4,"engineering,logic ,electronics,circuits,semester 3"
798789778,Electronic Devices and Circuits-1,JS Katre,3,"engineering,circuits,electronics,devices,semester 3"
897978788,Microcontroller Applications,Harish G Narula,3,"engineering,electronics,applications,microcontroller,semester 4"
987977879,Communication Engineering,Js Katre,3,"engineering,communication,electronics,semester 5"
987987887,Pricnicples of Control System,Dr. Dhananjay K. Theckedath,4,"engineering,control,semester 5,electronics,principles"
977877878,Digital Signal Processing,Dr. Dhananjay K. Theckedath,4,"engineering,signal,processing,semeste 5,electronics"
987797978,Linear Integrated Circuits,JS Katre,3,"engineering,linear,circuits,electronics ,semester 5"
987979797,Embedded Systems and Real Time Operating Systems,hHarish G Narula,3,"engineering,embedded,operating,electronics,semester 6"
988977879,Digital Image Processing and Machine Vision,Dr. Dhananjay K. Theckedath,3,"engineering,machine,vision,image processing,semester 6,electronics"
987979788,Basic Vlsi Design,Poonam Kadam,4,"engineering,basic,vlsi,design,electronics,semester 6"
889898908,Computer Communications Network,JS Katre,4,"engineering,electronics,communications,network ,semester 6"
797989898,Advanced Networking Technologies,Vaishali S. Joshi,4,"engineering ,electronics,semester 7,networking"
987988787,Internet of Things,Pravin Goyal,4,"engineering,electronics ,semester 7 , internet,things"
989778788,Wireless Communication,Vaishali S. Joshi,4,"engineering,electronics,semester 7,wireless,communication"
989787878,Power Electronics,JS Katre,4,"engineering,Power,electronics,semester 7,"
987778979,Next Generation Networks,JS Katre,4,"engineering,generation,networks,semester 8,electronics"
987977879,MEMS Technology,Ashwini Pendurkar,3,"engineering,mems,technology,electronics,semester 8"
897878788,Thermodynamics,B. L. Singhal,4,"engineering,mechnanical,semester 3,thermodynamics,dynamics"
987787997,Materials and Metallurgy,Dr. janak B. Valaki,3,"engineering,materials,metallurgy,mechanical,semester 3"
787879798,Production Processes,Dr. F. B. Sayyad,3,"engineering,production,mechanical ,semester 3,"
987798787,Strength of Materials,Prof. Ramkumar Agarwal,3,"engineering,strength,materials,mechanical ,semester 3"
988978788,Fluid Mechnanics,Dr. Y. Shirsagar,4,"engineering,fluid,mechanical,semester 4,mechanics"
987897987,CAD/CAM,R. B. Patil,3,"engineering,cad,cam,mechanical,semester 4"
987878799,Kinematics of Machinery,Dr. F. B. Sayyad,4,"engineering,kinematics,semester 4, mechanical,machinery"
987987987,Industrial Electronics,JS Katre,4,"engineering,industrial ,electronics,mechanical,semester 4"
987798787,Thermal Engineering,B. L. Singhal,3,"engineering,thermal,mechanical,semester 5"
656758688,Finite Element Analysis,R. B. Patil,4,"engineering,finite,analysis,semester 5,mechanical"
988798798,Mechanical Measurements and Controls,Dr. Dhananjay K. Theckedath,4,"engineering,mechanical,semester 5,controls,measurement"
988979878,Dynamics of Machinery,Dr. F. B. Sayyad,3,"engineering,dynamics,machinery,mechanical,semester 5"
987897878,Metal Forming Technology,Sanket S. Chikse,3,"engineering,metal ,mechanical,forming,semester 6"
765765556,Turbo Machinery,B. L. Singhal,4,"engineering,mechanical,turbo,machinery,semester 6"
987878789,Tool Engineering,Dinesh V. Lohar,3,"engineering,mechanical,tool,semester 6"
978978978,Machine Design,R. B. Patil,4,"engineering,mechanical,semester 6,machine,design"
879778676,Automation and Artificial Intelligence,Purva Raut,3,"engineering,automation,artificial,mechanical,semester 6"
779788978,Advanced Vibration,Dr F. B. Sayyad,4,"engineering,mechanical,vibration,semester 7"
686678688,Vehicle Systems,S. D. Ambatkar,3,"engineering,mechnical,semester 7,vehicle,systems"
763767388,Renewable Energy Sources,B. L. Singhal,3,"engineering,renewable,energy,mechanical ,semester 7"
796572667,Design of Mechanical Systems,R. B. Patil,3,"engineering,mechanical,semester 7,design,systems"
936786397,Composite Materials,Nilesh Ambaji Jadhav,3,"engineering,mechanical,semester 8,materials,composite"
979877878,Product Design and Development,Mandar M. Bhidwe,4,"engineering,mechanical ,semester 8 , product,design,development"
877867699,Total Quality Management,Girish G. Pathak,3,"engineering,mechanical,semester 8 , quality,management"
879757543,Operations Planning and control,Dr. Anand K. Bewoor,4,"engineering,mechanical,semester 8 , planning ,control,operations"
234342343,Mechanics of Solids,Prof. Ramkumar Agarwal,3,"engineering,civil,semester 3,solids"
239172397,Architectural Planning and Design of Buildings,Mayura M. Yeole,3,"engineering,architectural,planning,civil,semester 3,design of buildings"
235839874,Engineering Geology,M. A. Shinde,2,"engineering,civil,semester 3,geology"
978974364,Building Materials and Concrete Technology,Swapnil B. Gorade,3,"engineering,civil,semester 4,concrete technology,building,materials"
934637683,Surveying,Pooja D. Pawar,4,"engineering,civil,semester 4,survey,surveying"
237846339,Structural Analysis,Prof Ramkumar Agarwal,3,"engineering,civil,semester 4,structural,analysis"
231971676,Geotechnical Engineering -1,Shruti S. Agarwal,4,"engineering,civil,semester 5 ,geotechnical"
123557533,Transportation Engineering,Pooja Deepak Pawar,3,"engineering,civil,semester 5,transportation"
298437483,Building Services and Repairs,Dr. Ajay S. Radke,3,"engineering,civil,semester 5,services,building,repairs"
982384664,Air and Noise Pollution & Control,Dr. Ravikant Pagnis,3,"engineering ,civil ,semester 5,pollution,control,air"
934108234,Theory of Reinforced Concrete Structures,Dr. Sumant K. Kulkarni,4,"engineering,civil,semester 5,concrete,structures"
938478371,Applied Hydraulics,B. L. Singhal,3,"engineering,civil,semester 5,hydraulics"
134729371,Geotechnical Engineering -2,Sagar R. Chavan,3,"engineering,civil ,semester 6,geotechnical"
927389472,Water Resources Engineering,Dr Ravikant Pagnis,4,"engineering,civil,semester 6,water,resources"
197289373,Design and drawing of steel Structures,Jitendra D. Dalvi,3,"engineering,civil,semester 6,steel,design,drawing"
